     save_loss_c   save_loss_r     save_loss
258     1.386294  6.103152e+12  3.051576e+12
259     1.386294  1.043920e+13  5.219600e+12
260     1.386294  1.038817e+13  5.194086e+12
261     1.386308  5.978657e+12  2.989329e+12
262     1.387649  1.385605e+13  6.928027e+12
263     1.397189  2.785030e+12  1.392515e+12
264     1.389217  1.341872e+13  6.709362e+12
265     1.386294  6.555138e+12  3.277569e+12
266     1.386294  9.228265e+12  4.614132e+12
267     1.388546  1.319454e+13  6.597271e+12
268     1.387090  2.966544e+12  1.483272e+12
269     0.499683  1.535515e+13  7.677576e+12
270     1.386294  4.886943e+12  2.443471e+12
271     1.386347  8.357613e+12  4.178807e+12
272     1.386294  1.232422e+13  6.162109e+12
273     1.405299  2.936759e+12  1.468380e+12
274     0.472053  1.506508e+13  7.532541e+12
275     1.386295  5.638274e+12  2.819137e+12
276     1.386294  9.194147e+12  4.597074e+12
277     1.386294  1.283313e+13  6.416567e+12
278     1.446897  3.047330e+12  1.523665e+12
279     1.386295  1.502921e+13  7.514607e+12
280     1.386294  4.978832e+12  2.489416e+12
281     1.386296  1.078090e+13  5.390452e+12
282     1.386369  1.145614e+13  5.728068e+12
283     1.406614  3.807958e+12  1.903979e+12
284     1.386294  1.555774e+13  7.778871e+12
285     1.391000  4.468145e+12  2.234073e+12
286     1.386294  1.067085e+13  5.335423e+12
287     1.386436  1.218693e+13  6.093463e+12
288     1.386294  3.616686e+12  1.808343e+12
289     0.550880  1.732906e+13  8.664532e+12
290     1.386294  4.605461e+12  2.302731e+12
291     1.386295  1.168717e+13  5.843586e+12
292     1.386294  1.179796e+13  5.898982e+12
293     1.386294  6.887509e+12  3.443754e+12
294     1.386294  1.829568e+13  9.147839e+12
295     1.388217  4.805064e+12  2.402532e+12
296     1.386294  1.991221e+13  9.956105e+12
297     1.386294  4.827097e+12  2.413548e+12
298     1.386294  2.241780e+13  1.120890e+13
299     1.386294  6.764007e+12  3.382004e+12
300     1.386294  2.067671e+13  1.033836e+13
301     1.386295  1.034756e+13  5.173779e+12
302     1.386294  1.542734e+13  7.713668e+12
303     1.386294  1.773302e+13  8.866509e+12
304     1.386294  8.905018e+12  4.452509e+12
